Ledgerstyle,county,2000 Pop,2010 Pop,2013 Pop (5-year ACS),Change 2000-2013,Change 2010-2013,geotype,Character2008,POP2010,WHITEONLY2010,BlackONLY2010,ASIANONLY2010,HISPANIC2010,StateLegDISTRICT2011,2010FIPS,2000FIPS,Statemuniname,1968statecode,TreasuryTaxationcode03,Federalcode03,2003LegislativeDistrict,AlternateCountyCodestate,COUNTY00,muniname06,njmuncode,DENSITY_PER_Square_MileWRONG,Character10,AREALAND10,AREAWATR10,AREAname10,FUNCSTAT10,GCUNI10,POP10010,HU10010,INTPTLAT10,INTPTLON10,LSADC10,STATENS10,COUNTYNS10,COUSUBNS10,PLACENS,CSASC10,MEMI10,PUMA10,RESERVED10,2010FIPS,SUMLEV00,LOGRECNO00,STATECE00,STATEFIPS00,COUNTYFIPS00,COUNTYSC00,COUSUBFIPS00,COUSUBCC00,COUSUBSC00,PLACE00,PLACECC00,PLACEDC00,AREALAND00,AREAWATR00,NAME00,INTPTLAT00,INTPTLON00,LSADC00,2000FIPS,LANDSQMI2010,WATRSQMI2010,TOTSQMI2010,LANDSQMILE2000,WATRSQMILE2000,TOTSQMILE2000,_2000PopSqMile,GEO.id2,GEO.display-label,2013 Pop (5-year ACS),Median Age,Homeowner Vacancy Rate Estimate,Rental Vacancy Rate Estimate,Percent Housing Built Before 1980,Percent Housing Built After 1980, Housing Cost Homeowners with Mortgage , Median Rent ,Commute - Percent Driving Alone,Commute - Percent Carpooling,Commute - Percent Public Transit,Commute - Percent Walking,Commute - Percent Bicycling,Commute - Percent Cab,Commute - Percent Work from Home,Average Commute Time,  Average Residential Property Value  ,Average Total Property Taxes,Average Net Property Taxes,Population Density 2010,Births 10-14 County,Deaths 10-14 County,Total Migration 10-14 County,Intl Migration 10-14 County,Dom Migration 10-14 County,City,Population,"Violent
crime","Violent Crime Rate per 10,000","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime","Property Crime Rate per 10,000",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Aberdeen,Monmouth,17454,18210,18192,738,-18,township                                                                         ,Suburban,18210,13954,2161,1171,1900,13,3402500070,3402500070,Aberdeen Twp.,1330,1301,34025003,13,N30,25,Aberdeen,1301,3341.3,Suburban ,14108025,6027826,Aberdeen township                                                                         ,A,!,18210,7102,40.4306694,-74.2235477,44,1779795,882910,882121,        ,23,1,     ,                  ,3402500070,60,95811,22,34,25,20,70,T1,14,     ,  ,0,14340815,5745199,Aberdeen township                                                                         ,40417296,-74222882,44,3402500070,5.447139137,2.327356729,7.774495866,5.537019863,2.21823383,7.755253692,3152.237202,3402500070,"Aberdeen township, Monmouth County, New Jersey",18192,39.2,2,2.3,67.40%,27.90%,"$2,369 ","$1,310 ",83.5,5.9,10.7,0.5,0.3,1.2,3.7,37,"$1,408,291 ","$11,969 ","$11,969 ",3343,26547,22825,-4559,5379,-9938,Aberdeen Township,"18,150",19,10,0,,0,13,6,237,131,42,185,10,0
Absecon,Atlantic,7638,8411,8394,756,-17,city                                                                              ,Suburban,8411,6430,832,667,631,2,3400100100,3400100100,Absecon City,101,101,34001005,2,A01,1,Absecon,101,1475.6,Suburban ,13975074,4911452,Absecon city                                                                              ,F,!,8411,3365,39.4235629,-74.4930249,25,1779795,882270,885134,        ,0,1,     ,                  ,3400100100,60,48,22,34,1,19,100,C5,13,     ,  ,9,14807423,3131184,Absecon city                                                                              ,39430416,-74503911,25,3400100100,5.395806467,1.8963223,7.292128767,5.717178226,1.208956953,6.926135179,1335.973744,3400100100,"Absecon city, Atlantic County, New Jersey",8394,43.9,1.5,3.2,62.10%,33.30%,"$1,986 ","$1,302 ",90.2,5.9,3.7,2.3,0,0.4,3.5,20,"$172,943 ","$5,346 ","$5,346 ",1559,14331,10755,-2692,6207,-8899,Absecon,"8,380",21,25,0,,2,4,15,266,317,91,169,6,0
Alexandria,Hunterdon,4698,4938,4918,220,-20,township                                                                       ,Rural,4938,4681,99,90,159,23,3401900550,3401900550,Alexandria Twp.,1001,1001,34019005,23,K01,19,Alexandria,1001,175.1,Rural ,71025014,562083,Alexandria township                                                                       ,A,!,4938,1865,40.5945319,-75.0265659,44,1779795,882228,882186,        ,23,1,     ,                  ,3401900550,60,75127,22,34,19,18,550,T1,12,     ,  ,0,71319130,269808,Alexandria township                                                                       ,40586838,-75036260,44,3401900550,27.42291238,0.217021469,27.63993385,27.53647121,0.104173456,27.64064467,170.6100961,3401900550,"Alexandria township, Hunterdon County, New Jersey",4918,44.9,3.7,51,42.00%,49.70%,"$3,010 ", - ,89.7,8.7,1.6,0,0,0.1,8.6,42,"$382,272 ","$9,461 ","$9,461 ",180,3897,3541,-1656,907,-2563,Allendale,"6,712",0,0,0,,0,0,0,37,55,6,29,2,0
Allamuchy,Warren,3877,4323,4426,549,103,township                                                                        ,Rural,4323,4040,77,118,194,24,3404100670,3404100670,Allamuchy Twp.,2101,2101,34041005,23,W01,41,Allamuchy,2101,213,Rural ,52976645,800195,Allamuchy township                                                                        ,A,!,4323,2096,40.9200334,-74.8197589,44,1779795,882237,882243,        ,0,1,     ,                  ,3404100670,60,156864,22,34,41,18,670,T1,12,     ,  ,0,53195894,592554,Allamuchy township                                                                        ,40920629,-74834043,44,3404100670,20.45439786,0.30895703,20.76335489,20.53905037,0.228786388,20.76783676,188.7623785,3404100670,"Allamuchy township, Warren County, New Jersey",4426,45,1.5,0,33.20%,65.50%,"$2,458 ","$1,617 ",83,3.3,1.4,0.8,0,0.9,13.9,37,"$228,808 ","$6,289 ","$6,289 ",211,3811,3771,-1789,873,-2662,,,,,,,,,,,,,,,
Allendale,Bergen,6699,6505,6595,-104,90,borough                                                                         ,Suburban,6505,5686,33,627,304,40,3400300700,3400300700,Allendale Boro,201,201,34003005,39,B01,3,Allendale,201,2168.3,Suburban ,8020223,55929,Allendale borough                                                                         ,F,!,6505,2388,41.032669,-74.1338262,21,1779795,882271,885135,        ,23,1,     ,                  ,3400300700,60,9927,22,34,3,20,700,C5,13,     ,  ,9,8092694,65253,Allendale borough                                                                         ,41032713,-74133824,21,3400300700,3.096625544,0.021594309,3.118219853,3.124606755,0.025194325,3.14980108,2143.949791,3400300700,"Allendale borough, Bergen County, New Jersey",6595,41.8,0,19.5,57.60%,31.20%,"$3,834 "," 2,000+ ",75.9,4.2,12.5,2.1,0,2.3,7.3,35,"$614,617 ","$14,644 ","$14,644 ",2101,38755,29651,20841,25150,-4309,,,,,,,,,,,,,,,
Allenhurst,Monmouth,718,496,497,-221,1,borough                                                                        ,Rural Center,496,470,5,5,22,11,3402500730,3402500730,Allenhurst Boro,1301,1302,34025005,11,N01,25,Allenhurst,1302,1653.3,Suburban ,680471,52852,Allenhurst borough                                                                        ,F,!,496,365,40.2359448,-74.0024167,21,1779795,882910,885136,        ,23,1,     ,                  ,3402500730,60,96152,22,34,25,20,730,C5,8,     ,  ,9,676071,47046,Allenhurst borough                                                                        ,40237483,-74004615,21,3402500730,0.262731333,0.020406272,0.283137605,0.261032484,0.018164563,0.279197046,2750.615518,3402500730,"Allenhurst borough, Monmouth County, New Jersey",497,48,4.7,2.7,22.70%,5.20%,"$3,500 ","$1,000 ",73.5,10.9,11.3,1.1,7.3,0.7,6.2,29,"$284,872 ","$7,994 ","$7,994 ",1888,26547,22825,-4559,5379,-9938,Allenhurst,493,0,0,0,,0,0,0,39,791,20,18,1,0
Allentown,Monmouth,1882,1828,1811,-71,-17,borough                                                                         ,Urban Center,1828,1663,81,28,65,12,3402500760,3402500760,Allentown Boro,1302,1303,34025010,30,N02,25,Allentown,1303,3046.7,Rural ,1565700,66810,Allentown borough                                                                         ,F,!,1828,735,40.1785614,-74.5900947,21,1779795,882910,885137,        ,23,1,     ,                  ,3402500760,60,96194,22,34,25,20,760,C5,10,     ,  ,9,1573832,44733,Allentown borough                                                                         ,40176049,-74584910,21,3402500760,0.604520175,0.025795486,0.630315662,0.607659958,0.017271509,0.624931467,3097.126895,3402500760,"Allentown borough, Monmouth County, New Jersey",1811,43.3,3.6,0,57.50%,13.40%,"$2,347 ","$1,184 ",88.1,5.5,2.8,1.9,0,0.6,6.7,28,"$214,282 ","$4,642 ","$4,642 ",3024,26547,22825,-4559,5379,-9938,Allentown,"1,812",3,17,0,,0,0,3,18,99,12,6,0,0
Alloway,Salem,2774,3467,3450,676,-17,township                                                                          ,Rural,3467,3172,176,31,68,3,3403300880,3403300880,Alloway Twp.,1701,1701,34033005,3,S01,33,Alloway,1701,100.9,Rural ,86510071,1119953,Alloway township                                                                          ,A,!,3467,1268,39.5623111,-75.3106025,44,1779795,882233,882131,        ,23,1,     ,                  ,3403300880,60,137814,22,34,33,17,880,T1,12,     ,  ,0,85069022,853016,Alloway township                                                                          ,39559722,-75329301,44,3403300880,33.40172657,0.432416289,33.83414286,32.84533442,0.329351333,33.17468575,84.45643953,3403300880,"Alloway township, Salem County, New Jersey",3450,39.9,2.6,0,49.30%,32.70%,"$1,791 ","$1,602 ",93.9,7,0.8,1.7,0,0,3.6,27,"$194,940 ","$5,052 ","$5,052 ",104,3046,2969,-1471,196,-1667,,,,,,,,,,,,,,,
Alpha,Warren,2482,2369,2412,-70,43,borough                                                                             ,Suburban,2369,2206,57,36,125,23,3404101030,3404101030,Alpha Boro,2102,2102,34041010,23,W02,41,Alpha,2102,1393.5,Suburban ,4329352,67543,Alpha borough                                                                             ,F,!,2369,1032,40.6594468,-75.1570525,21,1779795,882237,885138,        ,0,1,     ,                  ,3404101030,60,157035,22,34,41,18,1030,C5,11,     ,  ,9,4396936,99604,Alpha borough                                                                             ,40664003,-75159871,21,3404101030,1.671572224,0.026078499,1.697650723,1.697666553,0.038457321,1.736123874,1462.006774,3404101030,"Alpha borough, Warren County, New Jersey",2412,41.6,0,3.9,66.60%,9.30%,"$1,694 ","$1,028 ",92.3,8.8,0.4,0.9,0.5,0.4,5.5,30,"$182,071 ","$5,517 ","$5,517 ",1417,3811,3771,-1789,873,-2662,Alpha,"2,314",1,4,0,,0,0,1,31,134,15,15,1,1
Alpine,Bergen,2183,1849,1861,-322,12,borough                                                                            ,Suburban,1849,1260,44,482,89,37,3400301090,3400301090,Alpine Boro,202,202,34003010,39,B02,3,Alpine,202,298.2,Suburban ,16603688,7306680,Alpine borough                                                                            ,F,!,1849,670,40.9681488,-73.9171502,21,1779795,882271,885139,        ,23,1,     ,                  ,3400301090,60,10029,22,34,3,20,1090,C5,11,     ,  ,9,16461774,7295059,Alpine borough                                                                            ,40954346,-73930472,21,3400301090,6.41072005,2.82112504,9.23184509,6.355926746,2.816638147,9.172564892,343.4589616,3400301090,"Alpine borough, Bergen County, New Jersey",1861,50.3,3.5,0,45.80%,45.70%," 4,000+ "," 2,000+ ",86.5,15,2.9,0.4,1.2,2,7,34,"$2,712,314 ","$20,093 ","$20,093 ",288,38755,29651,20841,25150,-4309,Alpine,"1,958",0,0,0,,0,0,0,10,51,6,2,2,0
